mmsi,timestamp,lat,lon,sog_knots,cog_deg,trip_id,event_label,distance_to_imbl_km
419000000,2026-01-01T05:10:00,8.7496,78.20698,7.76,113.8,trip_000,transit,91.731
419000000,2026-01-01T05:20:00,8.73313,78.22213,8.0,137.5,trip_000,transit,89.341
419000000,2026-01-01T05:30:00,8.71528,78.23173,7.26,151.8,trip_000,transit,87.018
419000000,2026-01-01T05:40:00,8.69848,78.24174,7.0,149.4,trip_000,transit,85.18
419000000,2026-01-01T05:50:00,8.67841,78.24504,7.29,170.7,trip_000,transit,83.372
419000000,2026-01-01T06:00:00,8.65853,78.24265,7.17,186.8,trip_000,transit,82.1
419000000,2026-01-01T06:10:00,8.63836,78.24506,7.28,173.2,trip_000,transit,81.455
419000000,2026-01-01T06:20:00,8.61891,78.25572,7.94,151.4,trip_000,transit,80.361
419000000,2026-01-01T06:30:00,8.59821,78.26414,8.0,158.0,trip_000,transit,78.494
419000000,2026-01-01T06:40:00,8.57874,78.27511,8.0,150.7,trip_000,transit,76.847
419000000,2026-01-01T06:50:00,8.55673,78.27887,8.0,170.4,trip_000,normal_fishing,75.018
419000000,2026-01-01T07:00:00,8.53665,78.28824,7.93,155.1,trip_000,normal_fishing,73.909
419000000,2026-01-01T07:10:00,8.52305,78.30326,7.24,132.3,trip_000,normal_fishing,72.323
419000000,2026-01-01T07:20:00,8.50618,78.31678,7.73,141.4,trip_000,normal_fishing,70.349
419000000,2026-01-01T07:30:00,8.4863,78.3222,7.38,164.8,trip_000,normal_fishing,68.472
419000000,2026-01-01T07:40:00,8.46731,78.32978,7.32,158.3,trip_000,normal_fishing,67.438
419000000,2026-01-01T07:50:00,8.45267,78.34094,6.58,142.8,trip_000,normal_fishing,66.246
419000000,2026-01-01T08:00:00,8.43947,78.35145,6.04,141.6,trip_000,normal_fishing,64.767
419000000,2026-01-01T08:10:00,8.42518,78.35971,5.91,150.1,trip_000,normal_fishing,63.384
419000000,2026-01-01T08:20:00,8.40804,78.36378,6.31,166.7,trip_000,normal_fishing,62.225
419000000,2026-01-01T08:30:00,8.39007,78.37131,6.98,157.3,trip_000,normal_fishing,61.469
419000000,2026-01-01T08:40:00,8.37139,78.37376,6.75,172.6,trip_000,normal_fishing,60.322
419000000,2026-01-01T08:50:00,8.35251,78.37993,7.12,162.0,trip_000,normal_fishing,59.714
419000000,2026-01-01T09:00:00,8.3378,78.39067,6.52,144.0,trip_000,normal_fishing,58.698
419000000,2026-01-01T09:10:00,8.32811,78.40798,7.09,119.3,trip_000,normal_fishing,57.262
419000000,2026-01-01T09:20:00,8.31534,78.42464,7.5,127.6,trip_000,normal_fishing,55.203
419000000,2026-01-01T09:30:00,8.29912,78.43754,7.42,141.6,trip_000,normal_fishing,53.16
419000000,2026-01-01T09:40:00,8.2838,78.44829,6.7,145.1,trip_000,normal_fishing,51.461
419000000,2026-01-01T09:50:00,8.27232,78.46427,7.03,125.8,trip_000,normal_fishing,49.988
